accuracy,loss,val_accuracy,val_loss
"[165, 1.0]","[126, 0.47696438431739807]","[33, 0.8807658553123474]","[30, 1.0490180253982544]"
"[166, 1.0]","[144, 0.47700366377830505]","[35, 0.8807658553123474]","[43, 1.0493488311767578]"
"[167, 1.0]","[177, 0.47722724080085754]","[44, 0.8807658553123474]","[66, 1.0523098707199097]"
"[168, 1.0]","[130, 0.47724592685699463]","[57, 0.8807658553123474]","[176, 1.0548081398010254]"
"[169, 1.0]","[161, 0.47733959555625916]","[59, 0.8807658553123474]","[34, 1.0550792217254639]"
"[170, 1.0]","[158, 0.4773447513580322]","[81, 0.8807658553123474]","[91, 1.0581262111663818]"
"[171, 1.0]","[186, 0.4773743748664856]","[98, 0.8807658553123474]","[129, 1.0583839416503906]"
"[172, 1.0]","[154, 0.4773924648761749]","[101, 0.8807658553123474]","[198, 1.0707836151123047]"
"[173, 1.0]","[176, 0.47740882635116577]","[110, 0.8807658553123474]","[186, 1.07147216796875]"
"[174, 1.0]","[155, 0.4774436354637146]","[126, 0.8807658553123474]","[70, 1.0732829570770264]"
"[175, 1.0]","[89, 0.47758615016937256]","[137, 0.8807658553123474]","[79, 1.0738565921783447]"
"[176, 1.0]","[172, 0.4775964319705963]","[139, 0.8807658553123474]","[97, 1.0807123184204102]"
"[177, 1.0]","[164, 0.4776953160762787]","[168, 0.8807658553123474]","[163, 1.0844933986663818]"
"[178, 1.0]","[146, 0.47770461440086365]","[182, 0.8807658553123474]","[127, 1.0846353769302368]"
"[179, 1.0]","[125, 0.47770726680755615]","[18, 0.8798955678939819]","[150, 1.0851879119873047]"
"[180, 1.0]","[159, 0.47804996371269226]","[37, 0.8798955678939819]","[118, 1.0872052907943726]"
"[181, 1.0]","[150, 0.4782020151615143]","[38, 0.8798955678939819]","[144, 1.1028305292129517]"
"[182, 1.0]","[170, 0.4782119393348694]","[54, 0.8798955678939819]","[33, 1.105048418045044]"
"[183, 1.0]","[124, 0.47838038206100464]","[63, 0.8798955678939819]","[124, 1.1110697984695435]"
"[184, 1.0]","[180, 0.47857025265693665]","[75, 0.8798955678939819]","[73, 1.1143180131912231]"
"[185, 1.0]","[127, 0.4787045121192932]","[83, 0.8798955678939819]","[174, 1.115262508392334]"
"[186, 1.0]","[184, 0.47885504364967346]","[88, 0.8798955678939819]","[151, 1.1174633502960205]"
"[187, 1.0]","[152, 0.47886762022972107]","[97, 0.8798955678939819]","[56, 1.1198433637619019]"
"[188, 1.0]","[105, 0.47908103466033936]","[125, 0.8798955678939819]","[78, 1.124755859375]"
"[189, 1.0]","[188, 0.47925421595573425]","[141, 0.8798955678939819]","[86, 1.1250214576721191]"
"[190, 1.0]","[156, 0.4794306755065918]","[165, 0.8798955678939819]","[188, 1.1271291971206665]"
"[191, 1.0]","[187, 0.479522705078125]","[15, 0.8790252208709717]","[108, 1.1498703956604004]"
"[192, 1.0]","[160, 0.4796561300754547]","[17, 0.8790252208709717]","[171, 1.1551620960235596]"
"[193, 1.0]","[189, 0.4796626567840576]","[26, 0.8790252208709717]","[48, 1.1597516536712646]"
"[194, 1.0]","[199, 0.47966521978378296]","[29, 0.8790252208709717]","[38, 1.1601616144180298]"
"[195, 1.0]","[139, 0.47971102595329285]","[31, 0.8790252208709717]","[191, 1.1628589630126953]"
"[196, 1.0]","[185, 0.47973138093948364]","[45, 0.8790252208709717]","[184, 1.1642767190933228]"
"[197, 1.0]","[175, 0.47986310720443726]","[61, 0.8790252208709717]","[95, 1.1695542335510254]"
"[198, 1.0]","[166, 0.4801626205444336]","[181, 0.8790252208709717]","[146, 1.170047402381897]"
"[199, 1.0]","[190, 0.48031988739967346]","[11, 0.8781549334526062]","[122, 1.1715409755706787]"
"[37, 0.9998912811279297]","[149, 0.48033177852630615]","[16, 0.8781549334526062]","[81, 1.1723389625549316]"
"[26, 0.9996739029884338]","[163, 0.4804399311542511]","[20, 0.8781549334526062]","[168, 1.2226977348327637]"
"[31, 0.9996739029884338]","[171, 0.4805266559123993]","[22, 0.8781549334526062]","[180, 1.2357854843139648]"
"[32, 0.9996739029884338]","[137, 0.48063573241233826]","[62, 0.8781549334526062]","[82, 1.2532343864440918]"
"[22, 0.999456524848938]","[183, 0.48071521520614624]","[64, 0.8781549334526062]","[140, 1.2543374300003052]"
"[23, 0.999456524848938]","[195, 0.48099449276924133]","[66, 0.8781549334526062]","[172, 1.273895263671875]"
"[20, 0.998369574546814]","[151, 0.48111492395401]","[89, 0.8781549334526062]","[121, 1.3179303407669067]"
"[17, 0.9960869550704956]","[179, 0.481160044670105]","[180, 0.8781549334526062]","[164, 1.3375835418701172]"
"[24, 0.9941304326057434]","[196, 0.48128825426101685]","[12, 0.877284586429596]","[199, 1.3643794059753418]"
"[19, 0.988586962223053]","[191, 0.4819989800453186]","[28, 0.877284586429596]","[187, 1.377088189125061]"
"[21, 0.987500011920929]","[165, 0.4820435047149658]","[140, 0.877284586429596]","[141, 1.379571795463562]"
"[15, 0.9818478226661682]","[198, 0.4825499951839447]","[148, 0.877284586429596]","[161, 1.3886525630950928]"
"[18, 0.9805434942245483]","[182, 0.48289671540260315]","[13, 0.8764142990112305]","[142, 1.5281798839569092]"
"[12, 0.9772825837135315]","[193, 0.48368504643440247]","[21, 0.8764142990112305]","[173, 1.5490193367004395]"
"[16, 0.9745652079582214]","[157, 0.48387205600738525]","[25, 0.8764142990112305]","[72, 1.6213057041168213]"
"[14, 0.9616304636001587]","[173, 0.48444780707359314]","[24, 0.8755439519882202]","[83, 1.6752768754959106]"
"[10, 0.9286956787109375]","[178, 0.4849380552768707]","[49, 0.8755439519882202]","[93, 1.759523868560791]"
"[13, 0.9240217208862305]","[197, 0.4854721426963806]","[71, 0.8755439519882202]","[194, 2.011396646499634]"
"[11, 0.9206521511077881]","[192, 0.4879828095436096]","[10, 0.8738033175468445]","[157, 2.307950735092163]"
