accuracy,loss,val_accuracy,val_loss
"[76, 0.8704347610473633]","[144, 0.5062536597251892]","[160, 0.8320278525352478]","[138, 0.516937255859375]"
"[56, 0.8703261017799377]","[121, 0.5063524842262268]","[179, 0.8320278525352478]","[150, 0.5169880390167236]"
"[68, 0.8702173829078674]","[135, 0.5064148306846619]","[184, 0.8320278525352478]","[52, 0.5171681642532349]"
"[89, 0.8697826266288757]","[118, 0.5065468549728394]","[193, 0.8320278525352478]","[178, 0.5174983143806458]"
"[116, 0.8695651888847351]","[131, 0.5065706968307495]","[50, 0.8311575055122375]","[68, 0.51753169298172]"
"[161, 0.8693478107452393]","[138, 0.5066124796867371]","[66, 0.8311575055122375]","[73, 0.5176908373832703]"
"[172, 0.8691304326057434]","[142, 0.5067542195320129]","[73, 0.8311575055122375]","[97, 0.5177575349807739]"
"[51, 0.8690217137336731]","[115, 0.5067614912986755]","[75, 0.8311575055122375]","[124, 0.5184625387191772]"
"[146, 0.8689130544662476]","[125, 0.5068535208702087]","[76, 0.8311575055122375]","[106, 0.5184826254844666]"
"[67, 0.8686956763267517]","[110, 0.5069406628608704]","[94, 0.8311575055122375]","[196, 0.5185803174972534]"
"[80, 0.8685869574546814]","[111, 0.5073288679122925]","[105, 0.8311575055122375]","[85, 0.5188023447990417]"
"[77, 0.8684782385826111]","[163, 0.5073864459991455]","[110, 0.8311575055122375]","[21, 0.5188175439834595]"
"[65, 0.8681522011756897]","[151, 0.5075569748878479]","[146, 0.8311575055122375]","[167, 0.5192555785179138]"
"[136, 0.8681522011756897]","[176, 0.5076485872268677]","[154, 0.8311575055122375]","[168, 0.5192574858665466]"
"[158, 0.8679347634315491]","[106, 0.5076937079429626]","[157, 0.8311575055122375]","[147, 0.5193716287612915]"
"[87, 0.8671739101409912]","[129, 0.5077205300331116]","[159, 0.8311575055122375]","[112, 0.5195701122283936]"
"[95, 0.8671739101409912]","[122, 0.507885217666626]","[163, 0.8311575055122375]","[142, 0.5196640491485596]"
"[103, 0.8670651912689209]","[161, 0.5080310106277466]","[188, 0.8311575055122375]","[105, 0.5197492837905884]"
"[131, 0.8669565320014954]","[180, 0.5082328915596008]","[189, 0.8311575055122375]","[72, 0.5197992324829102]"
"[40, 0.8667391538619995]","[157, 0.5083006024360657]","[191, 0.8311575055122375]","[143, 0.5198603272438049]"
"[78, 0.8665217161178589]","[136, 0.5083097219467163]","[196, 0.8311575055122375]","[160, 0.5200307369232178]"
"[55, 0.866304337978363]","[126, 0.5083627700805664]","[197, 0.8311575055122375]","[153, 0.5202206373214722]"
"[63, 0.865760862827301]","[146, 0.5085349678993225]","[23, 0.8302872180938721]","[145, 0.5203079581260681]"
"[156, 0.8654347658157349]","[175, 0.5086294412612915]","[28, 0.8302872180938721]","[59, 0.5210414528846741]"
"[59, 0.8653261065483093]","[141, 0.5087127685546875]","[30, 0.8302872180938721]","[93, 0.521381676197052]"
"[84, 0.8650000095367432]","[155, 0.5088091492652893]","[47, 0.8302872180938721]","[177, 0.5215501189231873]"
"[53, 0.8648912906646729]","[104, 0.508903443813324]","[56, 0.8302872180938721]","[188, 0.5216009616851807]"
"[66, 0.8644565343856812]","[192, 0.508906900882721]","[93, 0.8302872180938721]","[169, 0.5217620730400085]"
"[120, 0.8638043403625488]","[164, 0.5089166760444641]","[104, 0.8302872180938721]","[165, 0.5219835042953491]"
"[90, 0.8632608652114868]","[150, 0.5090528130531311]","[152, 0.8302872180938721]","[103, 0.5220643281936646]"
"[160, 0.8628261089324951]","[145, 0.5090668797492981]","[158, 0.8302872180938721]","[149, 0.5222716927528381]"
"[39, 0.862500011920929]","[134, 0.5091322064399719]","[161, 0.8302872180938721]","[172, 0.522317111492157]"
"[151, 0.8623912930488586]","[168, 0.5093972682952881]","[168, 0.8302872180938721]","[161, 0.5224055051803589]"
"[35, 0.8622826337814331]","[160, 0.509422779083252]","[169, 0.8302872180938721]","[140, 0.5224902629852295]"
"[44, 0.8622826337814331]","[114, 0.5094690322875977]","[32, 0.8294168710708618]","[120, 0.5230063199996948]"
"[54, 0.8622826337814331]","[133, 0.509639322757721]","[40, 0.8294168710708618]","[162, 0.5231172442436218]"
"[72, 0.8622826337814331]","[170, 0.5099066495895386]","[52, 0.8294168710708618]","[187, 0.5231845378875732]"
"[37, 0.8621739149093628]","[185, 0.5099586844444275]","[81, 0.8294168710708618]","[152, 0.5234609842300415]"
"[57, 0.8620651960372925]","[132, 0.5100075602531433]","[97, 0.8294168710708618]","[117, 0.5240527391433716]"
"[33, 0.8619565367698669]","[147, 0.5102730393409729]","[109, 0.8294168710708618]","[159, 0.5241044759750366]"
"[70, 0.8618478178977966]","[194, 0.5103965401649475]","[149, 0.8294168710708618]","[122, 0.5242655277252197]"
"[75, 0.8610869646072388]","[187, 0.5104284286499023]","[155, 0.8294168710708618]","[173, 0.5244938135147095]"
"[60, 0.8606521487236023]","[139, 0.5105201005935669]","[198, 0.8294168710708618]","[115, 0.525532066822052]"
"[47, 0.8605434894561768]","[18, 0.510591447353363]","[17, 0.8285465836524963]","[98, 0.5259522199630737]"
"[58, 0.8602173924446106]","[117, 0.5106599926948547]","[24, 0.8285465836524963]","[118, 0.5259585976600647]"
"[50, 0.8598912954330444]","[173, 0.5108774900436401]","[29, 0.8285465836524963]","[183, 0.5263587236404419]"
"[43, 0.8590217232704163]","[167, 0.5110330581665039]","[39, 0.8285465836524963]","[43, 0.526853084564209]"
"[62, 0.8589130640029907]","[191, 0.5110386610031128]","[53, 0.8285465836524963]","[113, 0.5271363854408264]"
"[29, 0.8588043451309204]","[198, 0.511435866355896]","[92, 0.8285465836524963]","[198, 0.5271374583244324]"
"[48, 0.8586956262588501]","[158, 0.5115228295326233]","[120, 0.8285465836524963]","[71, 0.527239978313446]"
"[45, 0.8577173948287964]","[188, 0.5115538835525513]","[129, 0.8285465836524963]","[101, 0.5273951888084412]"
"[27, 0.8573912978172302]","[189, 0.5117895007133484]","[147, 0.8285465836524963]","[86, 0.5278423428535461]"
"[41, 0.8572825789451599]","[165, 0.5118001103401184]","[182, 0.8285465836524963]","[104, 0.5280097126960754]"
"[34, 0.8571739196777344]","[159, 0.5118092894554138]","[33, 0.8276762366294861]","[100, 0.5283474922180176]"
"[38, 0.856521725654602]","[183, 0.5118175745010376]","[34, 0.8276762366294861]","[128, 0.5284155011177063]"
"[24, 0.8561956286430359]","[199, 0.5118502378463745]","[59, 0.8276762366294861]","[144, 0.5285025238990784]"
"[49, 0.853804349899292]","[153, 0.5118913054466248]","[172, 0.8276762366294861]","[83, 0.5286858081817627]"
"[42, 0.8534782528877258]","[169, 0.511929452419281]","[12, 0.8268058896064758]","[65, 0.5290290713310242]"
"[28, 0.8530434966087341]","[172, 0.5120024085044861]","[19, 0.8268058896064758]","[176, 0.5294591188430786]"
"[61, 0.8529347777366638]","[182, 0.5121937394142151]","[21, 0.8268058896064758]","[186, 0.5295495390892029]"
"[32, 0.8518478274345398]","[156, 0.5122028589248657]","[22, 0.8268058896064758]","[171, 0.5298061370849609]"
"[25, 0.8508695363998413]","[152, 0.5122082233428955]","[43, 0.8268058896064758]","[194, 0.5308752059936523]"
"[36, 0.8505434989929199]","[181, 0.5123003125190735]","[49, 0.8268058896064758]","[189, 0.5321030616760254]"
"[21, 0.8496739268302917]","[186, 0.5123334527015686]","[70, 0.8268058896064758]","[110, 0.5326029062271118]"
"[30, 0.8491304516792297]","[154, 0.5123796463012695]","[139, 0.8268058896064758]","[192, 0.5334798097610474]"
"[16, 0.8482608795166016]","[177, 0.5124517679214478]","[195, 0.8268058896064758]","[108, 0.5346921682357788]"
"[52, 0.8476086854934692]","[130, 0.5127822756767273]","[14, 0.8259356021881104]","[146, 0.5352294445037842]"
"[18, 0.8472825884819031]","[195, 0.5127944350242615]","[20, 0.8259356021881104]","[139, 0.5372985601425171]"
"[31, 0.8470652103424072]","[178, 0.5128914713859558]","[25, 0.8259356021881104]","[107, 0.5379008650779724]"
"[17, 0.8469565510749817]","[162, 0.5130252242088318]","[38, 0.8259356021881104]","[184, 0.5386195182800293]"
"[23, 0.845652163028717]","[196, 0.5131521821022034]","[10, 0.8250652551651001]","[125, 0.5393410921096802]"
"[22, 0.8455435037612915]","[174, 0.5131539106369019]","[31, 0.8250652551651001]","[181, 0.5395128726959229]"
"[19, 0.8454347848892212]","[184, 0.5132092237472534]","[42, 0.8250652551651001]","[96, 0.5395695567131042]"
"[26, 0.8450000286102295]","[137, 0.5132753252983093]","[46, 0.8250652551651001]","[174, 0.5440612435340881]"
"[20, 0.8432608842849731]","[171, 0.513343334197998]","[48, 0.8250652551651001]","[195, 0.5447584390640259]"
"[14, 0.8431521654129028]","[179, 0.5135758519172668]","[35, 0.8241949677467346]","[166, 0.5450553297996521]"
"[46, 0.8430435061454773]","[166, 0.5138134956359863]","[36, 0.8241949677467346]","[193, 0.5487107038497925]"
"[12, 0.8411956429481506]","[193, 0.5140317678451538]","[60, 0.8241949677467346]","[164, 0.5565196871757507]"
"[15, 0.8369565010070801]","[149, 0.5149456262588501]","[18, 0.8224543333053589]","[191, 0.5628156065940857]"
"[10, 0.8352174162864685]","[148, 0.5153660774230957]","[13, 0.8215839862823486]","[51, 0.5711389183998108]"
"[11, 0.83423912525177]","[197, 0.5160298943519592]","[15, 0.8189730048179626]","[197, 0.5731450915336609]"
"[13, 0.8297826051712036]","[190, 0.5171648263931274]","[11, 0.8181027173995972]","[91, 0.5739020705223083]"
